Modelo;Pooling;AGG;LAYER;out_vec_size;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;Nhid;Epochs;qtd_layers;paper_name;paper_link;year
allmpnet;CLS+SUM-NS_LYR-8;CLS+SUM-NS;LYR-8;torch.Size([1536]);85,82;90,30;94,99;90,00;91,10;93,20;70,32;87,96;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-8;CLS+MAX-NS;LYR-8;torch.Size([1536]);84,64;88,05;94,51;88,55;90,61;84,00;73,16;86,22;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-8;CLS+AVG+AVG-NS;LYR-8;torch.Size([2304]);86,09;90,78;95,40;90,13;91,93;94,80;73,74;88,98;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-8;CLS+AVG+SUM-NS;LYR-8;torch.Size([2304]);85,94;90,25;95,53;89,93;90,99;95,00;70,14;88,25;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-8;CLS+AVG+MAX-NS;LYR-8;torch.Size([2304]);85,33;90,15;95,07;89,90;91,27;92,60;72,64;88,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-8;CLS+SUM+AVG-NS;LYR-8;torch.Size([2304]);86,09;90,73;95,53;89,76;91,27;94,20;68,64;88,03;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-8;CLS+SUM+SUM-NS;LYR-8;torch.Size([2304]);85,45;91,36;95,09;90,18;90,99;95,80;69,68;88,36;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-8;CLS+SUM+MAX-NS;LYR-8;torch.Size([2304]);86,13;90,91;95,44;90,06;91,05;95,80;68,52;88,27;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-8;CLS+MAX+AVG-NS;LYR-8;torch.Size([2304]);86,21;90,28;95,04;89,88;92,09;92,00;73,45;88,42;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-8;CLS+MAX+SUM-NS;LYR-8;torch.Size([2304]);86,10;90,84;95,24;90,07;91,05;95,40;70,26;88,42;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-8;CLS+MAX+MAX-NS;LYR-8;torch.Size([2304]);84,65;88,11;94,12;88,81;90,83;89,60;71,59;86,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-9;CLS;LYR-9;torch.Size([768]);76,01;63,76;84,02;68,77;82,70;38,00;66,49;68,54;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-9;AVG;LYR-9;torch.Size([768]);85,28;87,26;94,09;89,10;91,05;94,80;71,01;87,51;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-9;SUM;LYR-9;torch.Size([768]);85,30;90,51;94,78;89,39;90,28;95,20;69,10;87,79;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-9;MAX;LYR-9;torch.Size([768]);83,09;83,58;92,45;88,44;90,23;84,60;72,70;85,01;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-9;AVG-NS;LYR-9;torch.Size([768]);85,20;87,18;94,04;89,41;90,99;95,00;70,67;87,50;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-9;SUM-NS;LYR-9;torch.Size([768]);85,31;90,38;94,95;89,63;90,12;95,40;67,59;87,63;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-9;MAX-NS;LYR-9;torch.Size([768]);83,08;83,60;92,41;88,40;90,17;84,60;72,70;84,99;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-9;CLS+AVG;LYR-9;torch.Size([1536]);85,21;87,82;94,17;89,18;90,88;93,20;70,96;87,35;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-9;CLS+SUM;LYR-9;torch.Size([1536]);85,65;90,33;95,18;89,65;90,88;96,20;69,33;88,17;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-9;CLS+MAX;LYR-9;torch.Size([1536]);83,66;85,09;92,77;88,41;90,23;89,40;71,88;85,92;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-9;CLS+AVG-NS;LYR-9;torch.Size([1536]);85,22;88,08;94,09;89,57;91,05;93,00;71,30;87,47;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_LYR-9;CLS+SUM-NS;LYR-9;torch.Size([1536]);85,49;90,14;95,05;89,57;91,10;96,40;68,75;88,07;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-9;CLS+MAX-NS;LYR-9;torch.Size([1536]);83,69;84,16;92,76;88,68;90,23;89,40;71,88;85,83;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-9;CLS+AVG+AVG-NS;LYR-9;torch.Size([2304]);85,80;88,58;94,85;89,83;91,05;94,80;73,91;88,40;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-9;CLS+AVG+SUM-NS;LYR-9;torch.Size([2304]);85,94;90,46;95,46;89,80;90,88;94,60;69,51;88,09;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-9;CLS+AVG+MAX-NS;LYR-9;torch.Size([2304]);85,23;88,56;94,34;89,39;92,20;95,60;72,75;88,30;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-9;CLS+SUM+AVG-NS;LYR-9;torch.Size([2304]);85,84;89,11;95,58;89,65;91,27;96,00;68,64;88,01;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-9;CLS+SUM+SUM-NS;LYR-9;torch.Size([2304]);85,46;89,57;95,30;89,58;90,72;95,80;68,81;87,89;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-9;CLS+SUM+MAX-NS;LYR-9;torch.Size([2304]);85,64;89,25;95,28;89,97;90,72;96,20;69,91;88,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-9;CLS+MAX+AVG-NS;LYR-9;torch.Size([2304]);85,53;88,77;94,28;89,60;92,09;94,40;73,39;88,29;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-9;CLS+MAX+SUM-NS;LYR-9;torch.Size([2304]);85,81;89,72;95,60;89,85;90,77;95,40;69,22;88,05;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-9;CLS+MAX+MAX-NS;LYR-9;torch.Size([2304]);82,99;86,01;92,83;88,82;90,33;93,60;72,17;86,68;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-10;CLS;LYR-10;torch.Size([768]);62,80;63,76;76,50;68,77;58,54;18,40;66,49;59,32;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-10;AVG;LYR-10;torch.Size([768]);85,35;85,59;93,78;89,06;90,01;94,80;74,09;87,53;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-10;SUM;LYR-10;torch.Size([768]);85,03;89,99;94,65;89,55;90,17;96,00;70,61;88,00;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-10;MAX;LYR-10;torch.Size([768]);84,28;84,03;92,73;88,44;90,01;87,20;73,33;85,72;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-10;AVG-NS;LYR-10;torch.Size([768]);85,28;85,99;93,77;89,08;90,17;94,00;74,32;87,52;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-10;SUM-NS;LYR-10;torch.Size([768]);84,27;89,11;94,65;89,38;90,06;95,80;70,96;87,75;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-10;MAX-NS;LYR-10;torch.Size([768]);84,28;84,00;92,77;88,33;89,95;89,00;73,33;85,95;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-10;CLS+AVG;LYR-10;torch.Size([1536]);84,76;84,18;93,85;88,94;90,28;93,40;73,86;87,04;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-10;CLS+SUM;LYR-10;torch.Size([1536]);85,53;89,22;94,85;89,47;90,28;95,80;68,52;87,67;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-10;CLS+MAX;LYR-10;torch.Size([1536]);83,98;84,16;92,53;88,04;90,28;88,00;71,36;85,48;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-10;CLS+AVG-NS;LYR-10;torch.Size([1536]);84,70;85,38;93,93;89,23;90,44;93,80;74,96;87,49;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_LYR-10;CLS+SUM-NS;LYR-10;torch.Size([1536]);85,45;89,67;94,89;89,38;90,50;95,80;70,03;87,96;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-10;CLS+MAX-NS;LYR-10;torch.Size([1536]);83,98;84,16;92,49;88,00;90,06;88,00;71,36;85,44;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-10;CLS+AVG+AVG-NS;LYR-10;torch.Size([2304]);85,10;87,04;94,31;89,79;90,23;95,40;75,71;88,23;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-10;CLS+AVG+SUM-NS;LYR-10;torch.Size([2304]);85,16;88,85;95,17;89,78;90,39;95,80;67,71;87,55;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-10;CLS+AVG+MAX-NS;LYR-10;torch.Size([2304]);85,35;84,50;93,53;89,20;90,55;94,20;75,77;87,59;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-10;CLS+SUM+AVG-NS;LYR-10;torch.Size([2304]);85,85;89,40;95,16;89,81;90,33;95,40;68,17;87,73;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-10;CLS+SUM+SUM-NS;LYR-10;torch.Size([2304]);85,31;89,75;95,03;89,60;90,44;95,60;69,04;87,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-10;CLS+SUM+MAX-NS;LYR-10;torch.Size([2304]);85,75;88,98;95,13;89,82;90,66;96,00;68,70;87,86;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-10;CLS+MAX+AVG-NS;LYR-10;torch.Size([2304]);84,89;85,54;93,52;89,52;90,23;94,60;74,43;87,53;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-10;CLS+MAX+SUM-NS;LYR-10;torch.Size([2304]);85,49;89,16;95,01;90,01;90,55;96,00;67,94;87,74;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-10;CLS+MAX+MAX-NS;LYR-10;torch.Size([2304]);84,50;84,11;92,77;88,99;90,39;92,80;70,96;86,36;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-11;CLS;LYR-11;torch.Size([768]);76,29;63,76;83,45;68,77;80,51;77,40;66,49;73,81;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-11;AVG;LYR-11;torch.Size([768]);84,49;84,45;93,43;88,39;89,57;93,80;75,42;87,08;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-11;SUM;LYR-11;torch.Size([768]);84,35;87,68;94,54;88,95;89,24;95,00;67,36;86,73;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-11;MAX;LYR-11;torch.Size([768]);82,92;82,22;91,99;87,90;88,91;85,20;73,16;84,61;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-11;AVG-NS;LYR-11;torch.Size([768]);84,58;84,37;93,33;88,57;89,68;94,20;75,83;87,22;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-11;SUM-NS;LYR-11;torch.Size([768]);84,67;87,73;94,51;88,90;89,29;95,00;67,48;86,80;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-11;MAX-NS;LYR-11;torch.Size([768]);83,00;82,25;92,00;87,78;89,02;86,60;73,10;84,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-11;CLS+AVG;LYR-11;torch.Size([1536]);84,81;84,24;93,54;88,29;89,73;94,00;75,42;87,15;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-11;CLS+SUM;LYR-11;torch.Size([1536]);84,94;87,31;94,19;89,40;90,44;96,00;71,07;87,62;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-11;CLS+MAX;LYR-11;torch.Size([1536]);83,23;82,67;92,03;88,06;89,24;90,80;73,57;85,66;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-11;CLS+AVG-NS;LYR-11;torch.Size([1536]);84,61;85,04;93,68;89,05;89,73;94,80;75,07;87,43;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_LYR-11;CLS+SUM-NS;LYR-11;torch.Size([1536]);84,92;87,31;94,27;89,15;90,44;96,00;71,36;87,64;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-11;CLS+MAX-NS;LYR-11;torch.Size([1536]);83,24;82,83;92,19;87,98;89,24;90,60;73,62;85,67;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-11;CLS+AVG+AVG-NS;LYR-11;torch.Size([2304]);85,25;85,75;94,03;89,30;89,68;94,60;74,96;87,65;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-11;CLS+AVG+SUM-NS;LYR-11;torch.Size([2304]);85,31;87,79;94,86;89,46;90,23;96,00;72,17;87,97;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-11;CLS+AVG+MAX-NS;LYR-11;torch.Size([2304]);84,80;85,22;93,94;88,89;90,23;95,80;75,36;87,75;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-11;CLS+SUM+AVG-NS;LYR-11;torch.Size([2304]);85,10;88,40;94,99;89,58;90,12;96,00;71,13;87,90;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-11;CLS+SUM+SUM-NS;LYR-11;torch.Size([2304]);84,19;87,81;94,73;89,61;90,06;96,20;71,01;87,66;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-11;CLS+SUM+MAX-NS;LYR-11;torch.Size([2304]);84,99;88,40;94,99;89,36;90,61;96,60;72,06;88,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-11;CLS+MAX+AVG-NS;LYR-11;torch.Size([2304]);85,19;85,67;93,96;89,25;90,17;95,40;75,36;87,86;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-11;CLS+MAX+SUM-NS;LYR-11;torch.Size([2304]);84,96;88,11;94,78;89,22;90,33;96,20;72,41;88,00;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-11;CLS+MAX+MAX-NS;LYR-11;torch.Size([2304]);83,74;83,71;92,17;88,04;89,07;93,40;70,96;85,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-12;CLS;LYR-12;torch.Size([768]);83,05;82,60;91,24;87,42;87,26;84,00;72,58;84,02;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-12;AVG;LYR-12;torch.Size([768]);84,34;82,15;92,49;88,08;88,63;90,00;72,93;85,52;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-12;SUM;LYR-12;torch.Size([768]);84,06;86,36;93,70;88,41;88,36;94,40;70,20;86,50;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-12;MAX;LYR-12;torch.Size([768]);83,79;80,10;91,39;87,64;89,24;84,60;74,14;84,41;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-12;AVG-NS;LYR-12;torch.Size([768]);84,14;81,99;92,58;87,80;89,02;90,20;72,87;85,51;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-12;SUM-NS;LYR-12;torch.Size([768]);84,06;85,59;93,94;88,30;88,36;94,60;70,14;86,43;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-12;MAX-NS;LYR-12;torch.Size([768]);83,83;80,16;91,42;87,87;89,07;85,80;74,09;84,61;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-12;CLS+AVG;LYR-12;torch.Size([1536]);84,20;84,69;93,02;88,57;88,47;89,20;75,42;86,22;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-12;CLS+SUM;LYR-12;torch.Size([1536]);84,48;87,10;93,85;88,83;89,29;94,40;71,07;87,00;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-12;CLS+MAX;LYR-12;torch.Size([1536]);83,63;83,63;92,79;88,70;87,97;90,20;74,14;85,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-12;CLS+AVG-NS;LYR-12;torch.Size([1536]);84,23;84,72;92,94;88,61;88,52;91,60;75,25;86,55;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_LYR-12;CLS+SUM-NS;LYR-12;torch.Size([1536]);84,50;86,89;93,81;88,45;88,30;94,80;71,25;86,86;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-12;CLS+MAX-NS;LYR-12;torch.Size([1536]);83,63;83,68;92,86;88,65;87,97;89,00;74,03;85,69;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-12;CLS+AVG+AVG-NS;LYR-12;torch.Size([2304]);84,85;85,72;93,41;88,61;88,52;92,40;75,30;86,97;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-12;CLS+AVG+SUM-NS;LYR-12;torch.Size([2304]);84,35;86,65;93,96;88,71;88,41;94,40;71,07;86,79;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-12;CLS+AVG+MAX-NS;LYR-12;torch.Size([2304]);84,23;84,74;93,28;88,97;89,40;92,40;74,49;86,79;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-12;CLS+SUM+AVG-NS;LYR-12;torch.Size([2304]);84,64;86,97;93,85;88,81;88,52;94,20;69,62;86,66;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-12;CLS+SUM+SUM-NS;LYR-12;torch.Size([2304]);84,26;87,10;94,05;89,02;89,13;94,40;70,20;86,88;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-12;CLS+SUM+MAX-NS;LYR-12;torch.Size([2304]);84,45;87,21;93,99;88,74;89,79;93,80;69,28;86,75;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-12;CLS+MAX+AVG-NS;LYR-12;torch.Size([2304]);84,66;85,09;93,38;88,98;88,91;91,60;74,20;86,69;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-12;CLS+MAX+SUM-NS;LYR-12;torch.Size([2304]);84,32;86,12;94,02;89,06;88,08;94,80;71,30;86,81;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-12;CLS+MAX+MAX-NS;LYR-12;torch.Size([2304]);84,37;85,14;93,06;88,83;88,80;92,00;73,74;86,56;nan;nan;nan;nan;nan;nan
allmpnet;CLS_SUML4L;CLS;SUML4L;torch.Size([768]);82,88;82,75;90,70;87,70;87,64;84,60;73,45;84,25;nan;nan;nan;nan;nan;nan
allmpnet;AVG_SUML4L;AVG;SUML4L;torch.Size([768]);86,02;89,06;94,63;89,89;91,21;95,40;76,29;88,93;nan;nan;nan;nan;nan;nan
allmpnet;SUM_SUML4L;SUM;SUML4L;torch.Size([768]);82,85;88,56;93,83;89,33;89,62;95,00;69,04;86,89;nan;nan;nan;nan;nan;nan
allmpnet;MAX_SUML4L;MAX;SUML4L;torch.Size([768]);83,71;85,51;92,55;88,47;90,06;93,20;71,25;86,39;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_SUML4L;AVG-NS;SUML4L;torch.Size([768]);86,05;89,19;94,41;90,06;90,94;95,80;76,70;89,02;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_SUML4L;SUM-NS;SUML4L;torch.Size([768]);82,39;88,42;93,83;89,17;89,51;95,20;70,03;86,94;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_SUML4L;MAX-NS;SUML4L;torch.Size([768]);83,68;85,48;92,46;88,70;90,12;93,60;71,30;86,48;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_SUML4L;CLS+AVG;SUML4L;torch.Size([1536]);85,94;88,58;94,71;90,00;91,10;96,40;76,35;89,01;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_SUML4L;CLS+SUM;SUML4L;torch.Size([1536]);83,98;88,42;94,29;89,92;89,95;95,00;69,86;87,35;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_SUML4L;CLS+MAX;SUML4L;torch.Size([1536]);84,66;85,96;93,64;89,77;90,83;95,60;74,26;87,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_SUML4L;CLS+AVG-NS;SUML4L;torch.Size([1536]);85,79;88,63;94,61;90,13;90,61;96,20;76,23;88,89;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_SUML4L;CLS+SUM-NS;SUML4L;torch.Size([1536]);84,20;88,79;94,32;89,81;90,06;95,00;69,45;87,38;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_SUML4L;CLS+MAX-NS;SUML4L;torch.Size([1536]);84,73;86,52;93,64;89,58;90,83;95,60;74,26;87,88;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_SUML4L;CLS+AVG+AVG-NS;SUML4L;torch.Size([2304]);86,26;89,14;95,10;90,44;90,77;95,80;76,23;89,11;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_SUML4L;CLS+AVG+SUM-NS;SUML4L;torch.Size([2304]);84,49;88,71;94,71;90,00;90,23;95,00;71,77;87,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_SUML4L;CLS+AVG+MAX-NS;SUML4L;torch.Size([2304]);85,22;88,34;94,83;89,77;90,94;95,60;73,28;88,28;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_SUML4L;CLS+SUM+AVG-NS;SUML4L;torch.Size([2304]);84,16;88,93;94,67;90,18;90,39;93,40;70,78;87,50;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_SUML4L;CLS+SUM+SUM-NS;SUML4L;torch.Size([2304]);83,27;86,91;94,45;89,96;90,23;94,40;68,64;86,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_SUML4L;CLS+SUM+MAX-NS;SUML4L;torch.Size([2304]);83,75;89,35;94,77;89,96;90,33;95,20;69,68;87,58;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_SUML4L;CLS+MAX+AVG-NS;SUML4L;torch.Size([2304]);85,86;89,41;94,29;90,26;90,44;95,40;74,20;88,55;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_SUML4L;CLS+MAX+SUM-NS;SUML4L;torch.Size([2304]);83,70;88,74;94,76;89,59;90,55;94,80;71,94;87,73;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_SUML4L;CLS+MAX+MAX-NS;SUML4L;torch.Size([2304]);84,44;85,25;93,14;89,63;89,51;96,20;70,09;86,89;nan;nan;nan;nan;nan;nan
allmpnet;CLS_AVGL4L;CLS;AVGL4L;torch.Size([768]);82,05;66,22;90,02;79,90;86,93;81,20;66,49;78,97;nan;nan;nan;nan;nan;nan
allmpnet;AVG_AVGL4L;AVG;AVGL4L;torch.Size([768]);84,89;85,77;93,70;88,33;90,61;93,80;74,61;87,39;nan;nan;nan;nan;nan;nan
allmpnet;SUM_AVGL4L;SUM;AVGL4L;torch.Size([768]);85,22;90,22;94,58;89,62;90,01;95,60;71,36;88,09;nan;nan;nan;nan;nan;nan
allmpnet;MAX_AVGL4L;MAX;AVGL4L;torch.Size([768]);84,09;83,60;92,66;88,20;90,12;88,40;72,00;85,58;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_AVGL4L;AVG-NS;AVGL4L;torch.Size([768]);84,79;86,38;93,69;89,05;90,55;92,40;73,57;87,20;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_AVGL4L;SUM-NS;AVGL4L;torch.Size([768]);85,27;90,17;94,56;89,42;90,88;96,20;70,61;88,16;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_AVGL4L;MAX-NS;AVGL4L;torch.Size([768]);84,07;83,63;92,76;88,14;90,33;88,00;72,29;85,60;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_AVGL4L;CLS+AVG;AVGL4L;torch.Size([1536]);85,28;86,09;93,99;89,27;90,23;93,40;74,67;87,56;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_AVGL4L;CLS+SUM;AVGL4L;torch.Size([1536]);85,58;89,88;95,01;89,60;90,83;96,00;70,61;88,22;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_AVGL4L;CLS+MAX;AVGL4L;torch.Size([1536]);84,44;85,16;92,32;88,54;90,06;89,60;71,83;85,99;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_AVGL4L;CLS+AVG-NS;AVGL4L;torch.Size([1536]);85,20;85,83;94,12;89,37;90,33;93,60;74,84;87,61;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_AVGL4L;CLS+SUM-NS;AVGL4L;torch.Size([1536]);85,61;89,83;94,88;89,39;91,05;96,00;70,43;88,17;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_AVGL4L;CLS+MAX-NS;AVGL4L;torch.Size([1536]);84,47;85,35;92,31;88,61;90,06;89,60;71,88;86,04;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_AVGL4L;CLS+AVG+AVG-NS;AVGL4L;torch.Size([2304]);85,42;87,81;94,46;89,64;90,66;95,80;75,94;88,53;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_AVGL4L;CLS+AVG+SUM-NS;AVGL4L;torch.Size([2304]);85,51;89,93;95,14;90,06;91,27;95,60;73,28;88,68;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_AVGL4L;CLS+AVG+MAX-NS;AVGL4L;torch.Size([2304]);85,27;86,78;93,75;89,71;90,44;95,20;75,83;88,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_AVGL4L;CLS+SUM+AVG-NS;AVGL4L;torch.Size([2304]);85,75;89,91;95,15;89,98;90,28;96,20;71,19;88,35;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_AVGL4L;CLS+SUM+SUM-NS;AVGL4L;torch.Size([2304]);85,49;88,69;94,95;89,92;90,66;95,40;69,97;87,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_AVGL4L;CLS+SUM+MAX-NS;AVGL4L;torch.Size([2304]);85,69;90,06;94,87;89,85;91,54;96,20;72,29;88,64;nan;nan;nan;nan;nan;nan
